card_id,customer_id,card4,card6
C04570-K1,C04570,mastercard,credit
C03042-K1,C03042,mastercard,credit
C07297-K1,C07297,mastercard,debit
C13487-K1,C13487,mastercard,debit
C11891-K1,C11891,mastercard,credit
C02354-K2,C02354,visa,debit
C07987-K2,C07987,visa,credit
C10434-K1,C10434,visa,credit
C12265-K2,C12265,visa,debit
C12382-K1,C12382,visa,debit
C09933-K2,C09933,visa,debit
C02923-K1,C02923,visa,credit
C07671-K2,C07671,mastercard,debit
C08623-K2,C08623,mastercard,credit
C09988-K1,C09988,visa,debit
C05876-K2,C05876,visa,debit
C13171-K2,C13171,visa,credit
C08299-K1,C08299,visa,credit
C08106-K1,C08106,visa,debit
C11923-K2,C11923,visa,debit
C07297-K2,C07297,mastercard,debit
C12265-K1,C12265,,
