case_id,customer_id,card_id,opened_at,closed_at,outcome,pattern,exposure_usd,n_txns,report_filed,analyst_notes
CC-0255,C02354,C02354-K2,2016-07-09 00:09:53,2016-07-12 18:09:53,confirmed_fraud,account_takeover,1167.08,7,true,"Case CC-0255: cardholder C02354 reported unrecognized activity on card C02354-K2. 7 transaction(s) between 2016-07-06 and 2016-07-08 totaling $1,167.08 were confirmed fraudulent. Mixed-channel activity inconsistent with the cardholder; credentials and card data both used. Online transactions came from a iOS Device on mobile safari 10.0. Card blocked and reissued. Customer reimbursed."
CC-0405,C02354,C02354-K2,2016-07-12 06:45:36,2016-07-14 22:45:36,cleared,none,0.0,1,false,Case CC-0405: model scored a $22.30 transaction at 0.94. Cardholder confirmed travel to the billing region in question. Alert cleared.
CC-0454,C02354,C02354-K2,2016-07-13 16:11:34,2016-07-18 04:11:34,confirmed_fraud,account_takeover,940.94,6,false,Case CC-0454: cardholder C02354 reported unrecognized activity on card C02354-K2. 6 transaction(s) between 2016-07-12 and 2016-07-13 totaling $940.94 were confirmed fraudulent. Mixed-channel activity inconsistent with the cardholder; credentials and card data both used. Online transactions came from a iOS Device on mobile safari 11.0. Card blocked and reissued. Customer reimbursed.
CC-0631,C02354,C02354-K2,2016-07-16 23:16:38,2016-07-22 03:16:38,confirmed_fraud,out_of_region_use,118.17,2,false,"Case CC-0631: cardholder C02354 reported unrecognized activity on card C02354-K2. 2 transaction(s) between 2016-07-16 and 2016-07-16 totaling $118.17 were confirmed fraudulent. Card-present use in a billing region the cardholder had no history in, while the cardholder retained the card. Card blocked and reissued. Customer reimbursed."
CC-1450,C02354,C02354-K2,2016-07-30 07:41:05,2016-08-03 22:41:05,confirmed_fraud,account_takeover,2351.25,14,true,"Case CC-1450: cardholder C02354 reported unrecognized activity on card C02354-K2. 14 transaction(s) between 2016-07-21 and 2016-07-29 totaling $2,351.25 were confirmed fraudulent. Mixed-channel activity inconsistent with the cardholder; credentials and card data both used. Online transactions came from a iOS Device on mobile safari 11.0. Card blocked and reissued. Customer reimbursed."
CC-1699,C02354,C02354-K2,2016-08-05 06:23:28,2016-08-09 01:23:28,confirmed_fraud,account_takeover,329.06,2,false,Case CC-1699: cardholder C02354 reported unrecognized activity on card C02354-K2. 2 transaction(s) between 2016-08-04 and 2016-08-05 totaling $329.06 were confirmed fraudulent. Mixed-channel activity inconsistent with the cardholder; credentials and card data both used. Online transactions came from a rv:57.0 on firefox. Card blocked and reissued. Customer reimbursed.
CC-2051,C02354,C02354-K2,2016-08-13 03:45:51,2016-08-14 00:45:51,confirmed_fraud,account_takeover,226.12,5,false,Case CC-2051: cardholder C02354 reported unrecognized activity on card C02354-K2. 5 transaction(s) between 2016-08-08 and 2016-08-12 totaling $226.12 were confirmed fraudulent. Mixed-channel activity inconsistent with the cardholder; credentials and card data both used. Card blocked and reissued. Customer reimbursed.
CC-2187,C02354,C02354-K2,2016-08-16 07:34:48,2016-08-18 13:34:48,confirmed_fraud,account_takeover,543.01,3,false,Case CC-2187: cardholder C02354 reported unrecognized activity on card C02354-K2. 3 transaction(s) between 2016-08-14 and 2016-08-15 totaling $543.01 were confirmed fraudulent. Mixed-channel activity inconsistent with the cardholder; credentials and card data both used. Card blocked and reissued. Customer reimbursed.
CC-2432,C02354,C02354-K2,2016-08-21 19:44:38,2016-08-22 16:44:38,confirmed_fraud,account_takeover,359.41,2,false,Case CC-2432: cardholder C02354 reported unrecognized activity on card C02354-K2. 2 transaction(s) between 2016-08-20 and 2016-08-20 totaling $359.41 were confirmed fraudulent. Mixed-channel activity inconsistent with the cardholder; credentials and card data both used. Card blocked and reissued. Customer reimbursed.
CC-2589,C02354,C02354-K2,2016-08-25 13:12:26,2016-08-29 23:12:26,confirmed_fraud,out_of_region_use,96.02,2,false,"Case CC-2589: cardholder C02354 reported unrecognized activity on card C02354-K2. 2 transaction(s) between 2016-08-24 and 2016-08-24 totaling $96.02 were confirmed fraudulent. Card-present use in a billing region the cardholder had no history in, while the cardholder retained the card. Card blocked and reissued. Customer reimbursed."
