TransactionID,DeviceInfo,id_30,id_31,id_33,DeviceType
3000008,Windows,unknown,chrome 62.0,unknown,desktop
3000016,Moto G (5) Plus Build/NPN25.137-72,unknown,android webview 4.0,unknown,mobile
3000057,Moto G (5) Build/NPP25.137-72,unknown,chrome generic,unknown,mobile
3000061,Windows,unknown,chrome 62.0,unknown,desktop
3000078,unknown,unknown,mobile safari generic,unknown,mobile
3000079,unknown,unknown,mobile safari 10.0,unknown,mobile
3000093,unknown,unknown,mobile safari 11.0,unknown,mobile
3000113,unknown,unknown,mobile safari generic,unknown,mobile
3000123,ALE-L23 Build/HuaweiALE-L23,unknown,chrome 46.0 for android,unknown,mobile
3000127,Windows,unknown,chrome 62.0,unknown,desktop
3000164,Windows,unknown,chrome 62.0,unknown,desktop
3000172,LG-K580 Build/MRA58K,unknown,chrome 62.0 for android,unknown,mobile
3000190,Moto G (4) Build/NPJ25.93-14.5,unknown,chrome generic,unknown,mobile
3000197,SM-T710 Build/NRD90M,unknown,chrome 62.0 for android,unknown,mobile
3000204,SAMSUNG,unknown,chrome generic,unknown,mobile
3000217,Windows,unknown,chrome 62.0,unknown,desktop
3000232,Windows,unknown,chrome 61.0,unknown,desktop
3000242,Windows,unknown,chrome 61.0,unknown,desktop
3000274,unknown,unknown,mobile safari 11.0,unknown,mobile
3000280,unknown,unknown,mobile safari 11.0,unknown,mobile
3000305,unknown,unknown,chrome 62.0,unknown,desktop
3000314,Blade V6 Build/LRX22G,unknown,chrome 62.0 for android,unknown,mobile
3000321,unknown,unknown,mobile safari 11.0,unknown,mobile
3000322,SAMSUNG SM-J700M Build/MMB29K,unknown,samsung browser 6.2,unknown,mobile
3000381,SM-G531H Build/LMY48B,unknown,chrome 62.0 for android,unknown,mobile
3000519,Moto C Build/NRD90M.063,unknown,chrome 62.0 for android,unknown,mobile
3000736,Windows,unknown,chrome 62.0,unknown,desktop
3000805,Windows,unknown,chrome 62.0,unknown,desktop
3000815,Windows,unknown,chrome 62.0,unknown,desktop
3000932,LG-D693n Build/LRX22G,unknown,chrome 60.0 for android,unknown,mobile
3000943,unknown,unknown,chrome,unknown,desktop
3000945,Windows,unknown,chrome 62.0,unknown,desktop
3000960,HUAWEI RIO-L03 Build/HUAWEIRIO-L03,unknown,chrome 62.0 for android,unknown,mobile
3001089,iOS Device,iOS 10.2.0,mobile safari 10.0,1136x640,mobile
3001098,MacOS,Mac OS X 10_11_6,chrome 62.0,2560x1600,desktop
3001102,unknown,unknown,chrome 62.0,unknown,desktop
3001172,Windows,Windows 7,chrome 62.0,1280x1024,desktop
3001176,Windows,Windows 7,chrome 62.0,1280x1024,desktop
3001307,unknown,unknown,chrome 62.0,unknown,desktop
3001386,Windows,unknown,chrome 62.0,unknown,desktop
3001393,Windows,Windows 7,chrome 62.0,1920x1080,desktop
3001433,Windows,unknown,chrome 62.0,unknown,desktop
3001522,Windows,unknown,firefox 57.0,unknown,desktop
3001528,Windows,unknown,chrome 62.0,unknown,desktop
3001546,Windows,unknown,chrome 62.0,unknown,desktop
3001651,unknown,unknown,mobile safari 11.0,unknown,mobile
3001718,iOS Device,iOS 11.1.2,mobile safari generic,1334x750,mobile
3001887,Windows,Windows 10,edge 15.0,1600x900,desktop
3002221,Windows,Windows 10,chrome 62.0,1024x768,desktop
3002601,KYOCERA-C6742A Build/LMY47V,Android 5.1.1,chrome generic,960x540,mobile
