TransactionID,ts,TransactionAmt,ProductCD,channel,addr1,addr2,risk_score,P_emaildomain,R_emaildomain,customer_id,card_id
3450629,2016-11-11 23:46:24,100.09,R,online,204.0,87.0,0.57,anonymous.com,anonymous.com,C04570,C04570-K1
3464869,2016-11-17 14:03:36,599.94,R,online,327.0,87.0,0.77,anonymous.com,anonymous.com,C03042,C03042-K1
3476682,2016-11-21 20:30:00,482.12,C,online,264.0,87.0,0.25,gmail.com,,C07297,C07297-K1
3478561,2016-11-22 16:11:00,74.96,C,online,191.0,87.0,0.05,yahoo.com,gmail.com,C13487,C13487-K1
3478782,2016-11-22 17:27:07,292.36,C,online,,,0.79,hotmail.com,hotmail.com,C11891,C11891-K1
3491361,2016-11-27 13:41:26,39.08,W,in_person,126.0,87.0,0.48,,,C02354,C02354-K2
3503878,2016-12-01 17:28:53,99.92,R,online,264.0,87.0,0.9,verizon.net,gmail.com,C07987,C07987-K2
3506725,2016-12-02 15:18:27,1000.03,R,online,469.0,87.0,0.9,anonymous.com,anonymous.com,C10434,C10434-K1
3509359,2016-12-03 06:04:26,125.08,R,online,264.0,87.0,0.52,yahoo.com,cox.net,C12265,C12265-K2
3514030,2016-12-04 19:55:28,77.07,W,in_person,444.0,87.0,0.61,,,C12382,C12382-K1
3514948,2016-12-05 00:46:14,111.92,W,in_person,264.0,87.0,0.87,gmail.com,,C09933,C09933-K2
3523199,2016-12-07 21:38:37,100.07,R,online,330.0,87.0,0.54,icloud.com,gmail.com,C02923,C02923-K1
3526826,2016-12-09 02:39:29,35.66,C,online,,,0.76,gmail.com,gmail.com,C07671,C07671-K2
3530164,2016-12-10 13:01:21,49.0,W,in_person,330.0,87.0,0.4,me.com,,C08623,C08623-K2
3534820,2016-12-11 22:39:08,59.67,C,online,,,0.37,hotmail.com,hotmail.com,C09988,C09988-K1
3553342,2016-12-18 04:00:31,30.91,W,in_person,494.0,87.0,0.55,gmail.com,,C05876,C05876-K2
3558054,2016-12-19 22:08:56,55.68,C,online,,,0.38,hotmail.com,hotmail.com,C13171,C13171-K2
3581141,2016-12-28 12:10:53,30.02,S,online,203.0,87.0,0.28,,gmail.com,C08299,C08299-K1
3583227,2016-12-29 01:53:54,128.33,C,online,,,0.34,hotmail.com,hotmail.com,C08106,C08106-K1
3583368,2016-12-29 03:27:44,131.3,C,online,,,0.39,gmail.com,gmail.com,C11923,C11923-K2
3014003,2016-07-06 14:47:52,199.98,W,in_person,191.0,87.0,0.11,,,C12382,C12382-K1
3014441,2016-07-06 16:42:46,198.59,W,in_person,184.0,87.0,0.29,gmail.com,,C12382,C12382-K1
3015830,2016-07-06 21:35:43,185.07,W,in_person,428.0,87.0,0.11,yahoo.com,,C12382,C12382-K1
3016570,2016-07-07 00:41:34,130.94,W,in_person,143.0,87.0,0.02,,,C12382,C12382-K1
3016589,2016-07-07 00:46:02,120.42,W,in_person,143.0,87.0,0.09,,,C12382,C12382-K1
3017209,2016-07-07 04:26:26,100.05,W,in_person,264.0,87.0,0.27,gmail.com,,C12382,C12382-K1
3019167,2016-07-07 20:14:00,100.04,W,in_person,143.0,87.0,0.11,,,C12382,C12382-K1
3019235,2016-07-07 20:27:58,116.97,W,in_person,143.0,87.0,0.36,,,C12382,C12382-K1
3020600,2016-07-08 02:00:38,36.46,W,in_person,387.0,87.0,0.19,gmail.com,,C12382,C12382-K1
3022135,2016-07-08 17:30:10,90.03,W,in_person,387.0,87.0,0.17,gmail.com,,C12382,C12382-K1
3022218,2016-07-08 17:48:36,107.06,W,in_person,387.0,87.0,0.06,gmail.com,,C12382,C12382-K1
3024680,2016-07-09 03:50:48,20.05,W,in_person,485.0,87.0,0.2,yahoo.com,,C12382,C12382-K1
3026088,2016-07-09 18:06:04,25.93,W,in_person,143.0,87.0,0.25,yahoo.com,,C12382,C12382-K1
3031939,2016-07-11 01:42:28,58.93,W,in_person,325.0,87.0,0.11,gmail.com,,C12382,C12382-K1
3031956,2016-07-11 01:46:29,57.04,W,in_person,325.0,87.0,0.16,gmail.com,,C12382,C12382-K1
3032998,2016-07-11 15:00:27,49.92,W,in_person,272.0,87.0,0.13,yahoo.com,,C12382,C12382-K1
3033741,2016-07-11 18:01:39,380.42,W,in_person,264.0,87.0,0.2,yahoo.com,,C12382,C12382-K1
3034026,2016-07-11 18:58:23,25.89,W,in_person,264.0,87.0,0.04,gmail.com,,C12382,C12382-K1
3035822,2016-07-12 01:35:34,49.98,W,in_person,272.0,87.0,0.16,yahoo.com,,C12382,C12382-K1
3035829,2016-07-12 01:37:10,39.07,W,in_person,123.0,87.0,0.04,gmail.com,,C12382,C12382-K1
3036105,2016-07-12 03:04:14,280.02,W,in_person,122.0,87.0,0.16,yahoo.com,,C12382,C12382-K1
3037267,2016-07-12 16:35:39,63.9,W,in_person,315.0,87.0,0.15,gmail.com,,C12382,C12382-K1
3039694,2016-07-13 01:08:14,50.08,W,in_person,123.0,87.0,0.04,gmail.com,,C12382,C12382-K1
3041759,2016-07-13 17:50:52,29.96,W,in_person,123.0,87.0,0.03,gmail.com,,C12382,C12382-K1
3041984,2016-07-13 18:38:03,49.95,W,in_person,123.0,87.0,0.19,gmail.com,,C12382,C12382-K1
3043424,2016-07-13 23:20:37,100.06,W,in_person,122.0,87.0,0.17,yahoo.com,,C12382,C12382-K1
3046129,2016-07-14 18:31:17,107.93,W,in_person,264.0,87.0,0.11,yahoo.com,,C12382,C12382-K1
3046179,2016-07-14 18:41:50,58.98,W,in_person,123.0,87.0,0.05,gmail.com,,C12382,C12382-K1
3046278,2016-07-14 18:58:48,280.02,W,in_person,433.0,87.0,0.03,gmail.com,,C12382,C12382-K1
3047130,2016-07-14 21:51:03,211.02,W,in_person,220.0,87.0,0.1,yahoo.com,,C12382,C12382-K1
3047349,2016-07-14 22:34:10,58.91,W,in_person,498.0,87.0,0.18,gmail.com,,C12382,C12382-K1
3051334,2016-07-15 22:00:01,64.93,W,in_person,272.0,87.0,0.03,yahoo.com,,C12382,C12382-K1
